trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-09-02,1000000.0,1000000.0,987056.8376018511,1000000.0
2024-09-03,996544.2076092607,996544.2076092607,995857.6409494414,1008799.088364848
2024-09-04,985157.6551835971,985157.6551835971,989254.3145698609,1004027.5652700543
2024-09-05,988527.2337503871,988527.2337503871,998103.8898997376,1011972.6024072728
2024-09-06,978003.8012711876,978003.8012711876,983923.390633089,994641.6062605418
2024-09-09,969469.8292394504,969469.8292394504,981545.0841205476,987427.9511485345
2024-09-10,972888.195927706,972888.195927706,984003.9003659093,990085.1955261041
2024-09-11,962239.9310058104,962239.9310058104,978081.3235944213,989739.0300969768
2024-09-12,964621.6536041666,964621.6536041666,977125.0887798493,985930.3278643312
2024-09-13,957340.0505142235,957340.0505142235,967569.0756821041,973672.8946291406
2024-09-18,963494.855163124,963494.855163124,963690.6171288627,970572.1878471443
2024-09-19,975298.4140668506,975298.4140668506,986522.8624510764,988915.6461699519
2024-09-20,978731.4508583779,978731.4508583779,984882.2959868901,984741.5838667935
2024-09-23,985289.3977518517,985289.3977518517,987752.4275845586,986016.152180412
2024-09-24,1024835.0437876025,1024835.0437876025,1021728.9537073084,1024278.5738160822
2024-09-25,1041605.6981281651,1041605.6981281651,1034329.5201623854,1033920.0201212793
2024-09-26,1077670.345604254,1077670.345604254,1070512.8085487501,1075370.2966233979
2024-09-27,1107873.2749210992,1107873.2749210992,1113786.3029200977,1133243.0229133274
2024-09-30,1192664.666143328,1192664.666143328,1207335.728995443,1259527.2161261463
2024-10-08,1243285.123599608,1243285.123599608,1262518.7335860527,1368331.930506573
2024-10-09,1160731.794195821,1160731.794195821,1166827.128132109,1263620.74918671
2024-10-10,1175206.3047011113,1175206.3047011113,1171357.120958935,1247547.9948770164
2024-10-11,1163882.5150708286,1163882.5150708286,1136268.8371955543,1195088.8193420211
2024-10-14,1190737.2898880253,1190737.2898880253,1164984.7770897448,1238993.3624047579
2024-10-15,1176563.056107396,1176563.056107396,1146449.5723242508,1215037.5674432407
2024-10-16,1189517.620375047,1189517.620375047,1154310.6488672625,1218805.674112496
2024-10-17,1182027.4883296927,1182027.4883296927,1143801.419714733,1214693.1670386086
2024-10-18,1199231.0398448568,1199231.0398448568,1170914.1883248838,1268486.4804639365
2024-10-21,1202088.95142253,1202088.95142253,1182856.592453714,1293006.4213797415
2024-10-22,1215102.8496832156,1215102.8496832156,1201992.2260712038,1299237.8403601528
2024-10-23,1228253.7463985914,1228253.7463985914,1209694.8604076726,1302494.972438039
2024-10-24,1226443.4911239299,1226443.4911239299,1210223.573682308,1293240.507753421
2024-10-25,1225087.1540908716,1225087.1540908716,1235646.3363754298,1318232.5927217002
2024-10-28,1240710.363183137,1240710.363183137,1270179.624284939,1341879.28776849
2024-10-29,1230225.3720783342,1230225.3720783342,1249752.8286989378,1320202.139430316
2024-10-30,1229540.4507744596,1229540.4507744596,1256443.054312205,1328036.8625365824
2024-10-31,1225007.5630700898,1225007.5630700898,1274781.6385216857,1349507.5030088145
2024-11-01,1225657.982035275,1225657.982035275,1247334.6378134976,1308375.5928000233
2024-11-04,1247262.7048178199,1247262.7048178199,1268035.0062383218,1335486.3690467651
2024-11-05,1270190.3639442078,1270190.3639442078,1299183.2917195205,1382575.0162988976
2024-11-06,1278260.941651452,1278260.941651452,1308573.9398129252,1388454.9747766964
2024-11-07,1307932.4849696048,1307932.4849696048,1341635.3027958588,1412884.016930997
2024-11-08,1296001.030595712,1296001.030595712,1339659.760206723,1417120.9582317981
2024-11-11,1293760.2955336093,1293760.2955336093,1358068.3049612811,1451513.1224055516
2024-11-12,1284695.6452422014,1284695.6452422014,1349356.86263533,1432311.2002938762
2024-11-13,1296944.7567276265,1296944.7567276265,1348929.837448785,1428433.000221731
2024-11-14,1278413.446222651,1278413.446222651,1315741.5632194628,1383821.3442205924
2024-11-15,1273882.7282732716,1273882.7282732716,1292936.1441716726,1351460.061356664
2024-11-18,1279739.78622393,1279739.78622393,1274996.1416144124,1318155.1522719723
